"UID","Xsugg","Ysugg","Type","Unit","Walker","PassGrid","Section","FragNo","Material","MatSimple","PrimBlank","SecBlank","Length","Thickness","Width","ToolType","SubType","BifaceComp","ProjNotes"
"0075-7105-S-L2225",710075.9,3967104.2,"grid","0075-7105",57,37,"S",2225,"o","o","shatter","shatter",13.4,5.2,7.4,"n","","",""
"0075-7105-S-L2226",710074.6,3967108.8,"grid","0075-7105",57,37,"S",2226,"o","o","flake","flake fragment",9.7,2.3,5.3,"n","","",""
"0075-7115-S-L2229",710077.6,3967111.7,"grid","0075-7115",29,37,"S",2229,"o","o","indeterminate","pe",18.4,6.9,17.1,"pe","pe","",""
"0075-7115-S-L2230",710077.6,3967110.1,"grid","0075-7115",29,37,"S",2230,"o","o","flake","flake fragment",16.7,9.1,22,"other retouched tools","tang","",""
"0075-7125-S-L2260",710071.8,3967123.3,"grid","0075-7125",28,37,"S",2260,"o","o","flake","flake fragment",8.6,3.1,9.8,"n","","",""
"0075-7135-V-L2264",710071.2,3967133.7,"grid","0075-7135",59,37,"V",2264,"o","o","flake","flake",13.4,3.1,11.6,"n","","",""
"0075-7135-V-L2265",710079.2,3967131,"grid","0075-7135",59,37,"V",2265,"o","o","flake","flake",9.9,1.8,5.5,"n","","",""
"0075-7135-V-L2266",710072.7,3967138.4,"grid","0075-7135",59,37,"V",2266,"o","o","flake","flake",4.6,1.5,6.1,"n","","",""
"0075-7135-V-L2267",710079.9,3967135,"grid","0075-7135",59,37,"V",2267,"o","o","chip","chip",3.5,1.5,7.3,"n","","",""
"0075-7135-V-L2268",710070,3967136.7,"grid","0075-7135",59,37,"V",2268,"wc","c","flake","flake",18.6,4.5,24.1,"n","","",""
"0075-7135-V-L2269",710076.2,3967138.3,"grid","0075-7135",59,37,"V",2269,"wc","c","shatter","shatter",10,5.8,12.8,"n","","",""
"0075-7135-V-L2270",710074.2,3967138.5,"grid","0075-7135",59,37,"V",2270,"rc","c","flake","flake fragment?",10.9,2.3,7.7,"n","","",""
"0085-7115-S-L2231",710082.6,3967115.9,"grid","0085-7115",57,37,"S",2231,"o","o","flake","flake fragment",10.2,2.7,8.1,"n","","",""
"0085-7115-S-L2232",710089.2,3967119.1,"grid","0085-7115",57,37,"S",2232,"o","o","flake","flake fragment",10,1.9,7.3,"n","","",""
"0085-7115-S-L2233",710084.5,3967119.7,"grid","0085-7115",57,37,"S",2233,"wc","c","indeterminate","pe",26,6.8,11.9,"pe","pe","",""
"0085-7125-S-L2239",710084.3,3967127.3,"grid","0085-7125",29,37,"S",2239,"o","o","shatter","shatter",11,3.4,8,"n","","",""
"0085-7125-S-L2240",710083.6,3967126.2,"grid","0085-7125",29,37,"S",2240,"o","o","flake","broken flake",11.4,1.9,8.1,"n","","",""
"0085-7125-S-L2241",710089.2,3967129.8,"grid","0085-7125",29,37,"S",2241,"o","o","shatter","shatter",9.1,3.5,6.5,"n","","",""
"0085-7125-S-L2242",710080.1,3967126.3,"grid","0085-7125",29,37,"S",2242,"o","o","shatter","shatter/pe?",7.3,3,7.1,"n","","",""
