"SID","Xsugg","Ysugg","Type","Comments","LocErr"
1,706177.5,3973073.2,"old house",,10
2,708347.8,3972705.2,"shelter",,10
3,708641.7,3972867.7,"shelter",,10
4,708625.9,3972952.6,"shelter",,10
5,706611.7,3972113.7,"old house",,10
6,708579.8,3971490.3,"old house",,10
7,708500.8,3971533.8,"old house",,10
8,708188,3971436.1,"old house",,10
9,708304.7,3971356.2,"old house",,10
10,708556.8,3971223.6,"old house",,10
11,708580.4,3971270.1,"old house",,10
12,706977.1,3972098.9,"old house",,10
13,706950.5,3972099.4,"old house",,10
14,707345.5,3973857.5,"old house",,10
15,707260,3973853.3,"old house",,10
16,708283.6,3972061.7,"old house",,10
17,708242.9,3972109.7,"old house",,10
18,708207,3972144.4,"old house",,10
19,708237.7,3972280.2,"old house",,10
20,708229.4,3971024.8,"old house",,10
21,708253.4,3971042,"old house",,10
22,708211.8,3970927.3,"old house",,10
23,709270.1,3971075.8,"old house",,10
24,709106.7,3970806.9,"shelter",,10
25,708738.2,3971626.5,"old house",,10
26,709123.1,3969760.2,"old house",,10
27,708958,3969487.9,"shelter",,10
28,709069.3,3969403.5,"old house",,10
29,708832.3,3969657.1,"old house",,10
30,708710.9,3969659,"old house",,10
31,706757.7,3971617.3,"old house",,10
32,706749.6,3971643.3,"old house",,10
33,708912.9,3970071.7,"old house",,10
34,708151.6,3970752.6,"old house",,10
35,708108.5,3970708,"old house",,10
36,708268.6,3970373.6,"old house",,10
37,708319.9,3970231.1,"old house",,10
38,708405.4,3970216.5,"old house",,10
39,708385.9,3970256.2,"old house",,10
40,708361.7,3970260.4,"old house",,10
41,708290.7,3970431.8,"old house",,10
42,708361.8,3970143.3,"old house",,10
43,708495.3,3970028.5,"old house",,10
44,709163.1,3970083.9,"old house",,10
45,709246.4,3970028.1,"old house",,10
46,707310.9,3973832.9,"old house",,10
47,707619.1,3972404.9,"old house",,10
48,707700.1,3971825.8,"old house",,10
49,706682.7,3973260.5,"old house",,10
50,707558.6,3971756.6,"shelter",,10
51,707732.8,3971550.9,"old house",,10
52,707697.2,3970956.4,"old house",,10
53,709604.4,3968845.6,"shelter",,10
54,706206.6,3973083.2,"old house",,10
55,708971.6,3972086.7,"shelter",,10
56,708810.7,3972195.7,"shelter",,10
57,708479.1,3972319.2,"shelter",,10
58,708616.9,3972289.6,"shelter",,10
59,709004.8,3972312.5,"shelter",,10
60,708546.4,3972450.4,"shelter",,10
61,708651.2,3973471.5,"old house",,10
62,708328.2,3972559.9,"shelter",,10
63,708715.5,3972534.2,"shelter",,10
64,708295.5,3972619,"shelter",,10
65,708403.7,3972625,"shelter",,10
66,708237.3,3972864.1,"shelter",,10
67,708770.5,3973394.8,"old house",,10
68,707107.2,3973355.6,"shelter",,10
69,707126.1,3972983.7,"old house",,10
70,707157.2,3973013.1,"old house",,10
71,706524.4,3972767.6,"old house",,10
72,706594.1,3972074,"old house",,10
73,706560.9,3972141.3,"old house",,10
74,706526.3,3971929.2,"old house",,10
75,706662.4,3971918.7,"old house",,10
76,706629.6,3971947.3,"old house",,10
77,708271.3,3971351.3,"old house",,10
78,708206.1,3971449.4,"old house",,10
79,708523.4,3971304.3,"old house",,10
80,708529.6,3971406.1,"old house",,10
81,708585.8,3971346.1,"old house",,10
82,708195.1,3970955.1,"old house",,10
83,706684.2,3971931.9,"old house",,10
84,709229.7,3971203.6,"old house",,10
85,709212.3,3971156.7,"old house",,10
86,709343.1,3971001.5,"old house",,10
87,709367.9,3970815.7,"shelter",,10
88,709362.7,3971000.3,"old house",,10
89,709407.2,3970849.7,"shelter",,10
90,708638.3,3971452,"old house",,10
91,708733.1,3972010.2,"shelter",,10
92,708948.9,3971897.6,"shelter",,10
93,707086.8,3972033.4,"shelter",,10
94,708023.3,3970894.4,"old house",,10
95,708128.5,3970919.4,"old house",,10
96,708112.9,3970864.4,"old house",,10
97,708034.2,3970728,"old house",,10
98,708035.8,3970697.2,"old house",,10
99,708136.2,3970843.2,"old house",,10
100,708163.4,3970516.9,"old house",,10
101,708198,3970507.1,"old house",,10
102,708242.1,3970433,"old house",,10
103,709142.7,3970335.4,"old house",,10
104,707396.1,3973709.8,"old house",,10
105,707889.2,3972605.2,"old house",,10
106,707561.5,3972356.8,"old house",,10
107,707950.8,3972554.8,"old house",,10
108,707915.4,3972388.9,"old house",,10
109,709331.8,3971013.3,"old house",,10
110,706564,3973403,"old house",,10
111,706592.5,3973244,"old house",,10
112,706591.5,3973206.7,"old house",,10
113,706621.6,3973376.1,"old house",,10
114,706567,3973337.7,"old house",,10
115,706609.9,3973329.4,"old house",,10
116,706626.3,3973263.1,"old house",,10
117,706598,3973264.7,"old house",,10
118,706690.7,3973180.5,"old house",,10
119,706674.3,3973236.2,"old house",,10
120,706669,3973210.1,"old house",,10
121,706657.7,3973237.8,"old house",,10
122,706643.8,3973215.1,"old house",,10
123,706654.2,3973183.6,"old house",,10
124,706663,3973157.2,"old house",,10
125,706585.5,3973158.2,"old house",,10
126,706600.3,3973151.3,"old house",,10
127,706626.5,3973162.5,"old house",,10
128,706572.5,3973303.4,"old house",,10
129,706606.7,3973344,"old house",,10
130,709295.8,3970182.5,"old house",,10
131,709237.1,3970189.5,"old house",,10
132,709236.1,3970309.3,"old house",,10
133,707899.5,3971394.5,"old house",,10
134,709320.5,3969631.5,"shelter",,10
135,709319.6,3969322.5,"old house",,10
136,709510,3969340.5,"shelter",,10
137,707890.8,3969729.5,"shelter",,10
138,710091.7,3968958.9,"shelter",,10
139,710121.6,3967134.7,"shelter",,10
140,707937.1,3970775,"old house",,10
141,707858,3970758.8,"old house",,10
142,708028.2,3969709.3,"old house",,10
143,708071.3,3969678.1,"old house",,10
144,708202.3,3969582.2,"shelter",,10
145,707902,3972631.1,"old house",,10
146,706778.6,3973228.9,"old house",,10
147,708994.5,3969494.7,"shelter",,10
148,708989.7,3969520.6,"old house",,10
149,708991.8,3969483.2,"shelter",,10
150,708291.3,3970167.6,"old house",,10
151,709193.2,3970180.8,"old house",,10
152,709269.3,3970112.5,"old house",,10
153,709260,3970075.2,"old house",,10
154,709105.2,3970060.2,"old house",,10
155,709167.6,3970041.7,"old house",,10
156,709160.5,3969984.3,"old house",,10
157,709131.8,3970071.9,"old house",,10
158,709253.1,3970010.3,"old house",,10
159,709266.6,3970035.7,"old house",,10
160,709034.3,3970106.6,"old house",,10
161,706545.5,3973464.2,"old house",,10
162,706543.1,3972717.4,"old house",,10
163,706632.6,3973326.1,"old house",,10
164,706616.8,3973299.3,"old house",,10
